城市,公車站牌數,縣市面積,公車密度
台北市,5464,272,20.08823529
新北市,13459,2053,6.555772041
桃園市,3235,1221,2.649467649
台中市,21393,2215,9.658239278
台南市,6211,2192,2.833485401
高雄市,1098,2952,0.37195122
基隆市,5516,133,41.47368421
新竹市,1269,104,12.20192308
嘉義市,49,60,0.816666667
新竹縣,153,1428,0.107142857
苗栗縣,46,1820,0.025274725
彰化縣,48,1074,0.044692737
南投縣,41,4106,0.009985387
雲林縣,77,1291,0.059643687
嘉義縣,208,1904,0.109243697
屏東縣,1173,2776,0.422550432
宜蘭縣,834,2144,0.388992537
花蓮縣,64,4629,0.01382588
台東縣,51,3515,0.014509246
澎湖縣,1031,127,8.118110236
金門縣,2858,152,18.80263158
連江縣,66,29,2.275862069
