餐廳名稱,城市
望海巴耐餐廳/咖啡,花蓮縣
噶瑪蘭海產店,花蓮縣
口福海鮮餐廳,花蓮縣
拙而奇藝術空間,花蓮縣
東興野菜牛肉麵,花蓮縣
阿卿海鮮店,花蓮縣
升火工作室,花蓮縣
明來餐廳,台東縣
濱海餐廳,台東縣
欣逢海鮮餐廳,台東縣
晨霄海鮮,台東縣
原鄉複合式美食館,台東縣
東河肉粽王,台東縣
馬利諾廚房,台東縣
龍港海鮮餐廳,台東縣
釣魚人餐廳,台東縣
美玲海鮮,台東縣
雲海海產店,台東縣
新澎湖海鮮餐廳,台東縣
翔記餐廳,台東縣
文鳳小吃,台東縣
海角工作室,花蓮縣
奇美部落廚房,花蓮縣
頭目海產店,花蓮縣
悟饕飯包,花蓮縣
好的，擺 手創藝術小店,台東縣
福和成糕餅店,台東縣
修圓玉石坊,台東縣
都蘭山寶石DIY,台東縣
棉麻屋,台東縣
米苔目嫂海產店,台東縣
秋霞麵店,台東縣
富岡漁港量販活海產餐廳,台東縣
港口海產店,台東縣
宏津海鮮餐廳,台東縣
成功鎮農會農特產品展售中心,台東縣
lala Ban新社香蕉絲工坊,花蓮縣
大哥的故事,台東縣
山中傳奇,花蓮縣
太魯閣晶英酒店,花蓮縣
原野牧場,花蓮縣
吉籟獵人學校,花蓮縣
佳濱成功旗魚,台東縣
東河包子,台東縣
幸福食堂,台東縣
鴻安圓有機工作坊,台東縣
都蘭義大利披薩 Dulan A Mano Pizza,台東縣
足渡蘭鄉村手工皂,台東縣
錦鸞美食,台東縣
小鐵匠廚房,台東縣
菊荷美食屋,花蓮縣
廣恆發海鮮餐廳,台東縣
都蘭食堂,台東縣
小毛驢德國有機麵包,台東縣
我在玩-玩冰箱,台東縣
都蘭糖廠61,台東縣
小麗廚房,台東縣
東粄香傳統米食坊,台東縣
齒草埔 - 料理人的家,台東縣
逗留豆遊,台東縣
台11工作室,台東縣
巴蒂崮工作室(32鄰咖啡),台東縣
逐浪海景咖啡,台東縣
嘟邁風味餐,花蓮縣
法式小酒館Bistro victor,台東縣
哈狗店,台東縣
綠堤咖啡館,台東縣
澎坊免稅商店 綠島新天地,台東縣
洛恩?米薩克,台東縣
巨大少年Giant Boy,台東縣
佑健康工作室,台東縣
鼎東汽車客運公司(海線營運區),台東縣
碧順越南家鄉味,台東縣
百合工作室,花蓮縣
AVIS安維斯租車臺東站,台東縣
傘下咖啡,台東縣
王記 鬼頭刀專賣店,台東縣
成功豆花,台東縣
鯊魚黑幫臺東鯊魚博物館,台東縣
哈地喇小吃,台東縣
永福野店,台東縣
Umi屋銤海鮮料理,花蓮縣
海風味小吃,花蓮縣
台11線白蝦,台東縣
阿度的店,台東縣
項鍊海岸工作室,花蓮縣
好時好日煎焙咖啡,台東縣
明發餐廳【白沙鄉】,澎湖縣
第二漁港米粉麵【馬公市】,澎湖縣
望安 CAFE【馬公市】,澎湖縣
美德西點麵包店(中華店)【馬公市】,澎湖縣
傻愛莊【馬公市】,澎湖縣
胖達咖啡簡餐店【馬公市】,澎湖縣
官夫人澎湖花枝丸【馬公市】,澎湖縣
玉冠嫩仙草【馬公市】,澎湖縣
乾益堂藥膳蛋【馬公市】,澎湖縣
望安小吃部【望安鄉】,澎湖縣
七美漁村餐廳【七美鄉】,澎湖縣
阿霜小吃部【馬公市】,澎湖縣
榕園小吃部【白沙鄉】,澎湖縣
桃太郎日本料理【馬公市】,澎湖縣
阿東餐廳【馬公市】,澎湖縣
香亭土魠魚羹【馬公市】,澎湖縣
機場老牌牛肉麵【馬公市】,澎湖縣
致仙飲食店【望安鄉】,澎湖縣
永安西海岸龍膽專賣餐廳,澎湖縣
龍門海鮮【湖西鄉】,澎湖縣
韓湘館【白沙鄉】,澎湖縣
海邊漁之家【白沙鄉】,澎湖縣
自由冰品【白沙鄉】,澎湖縣
易家仙人掌冰【白沙鄉】,澎湖縣
西嶼台菜海鮮餐廳【西嶼鄉】,澎湖縣
可口冰城【西嶼鄉】,澎湖縣
清心飲食店【西嶼鄉】,澎湖縣
阿虹仙人掌專賣店【西嶼鄉】,澎湖縣
蒙地卡羅咖啡館【馬公市】,澎湖縣
京典粵菜海鮮館【馬公市】,澎湖縣
隆福海鮮餐廳【馬公市】,澎湖縣
長進餐廳【馬公市】,澎湖縣
印地安平價活海鮮【馬公市】,澎湖縣
富國海鮮川菜胡椒小吃【馬公市】,澎湖縣
老街香味麵館【白沙鄉】,澎湖縣
珍海味活海鮮【馬公市】,澎湖縣
朝昔廬客棧【馬公市】,澎湖縣
小紅莓小吃部【馬公市】,澎湖縣
六六八海鮮餐廳【馬公市】,澎湖縣
好朋友素食屋【馬公市】,澎湖縣
海世界小吃部【馬公市】,澎湖縣
龍星餐廳【馬公市】,澎湖縣
港口土魠魚羹【馬公市】,澎湖縣
紅瓦小棧餐廳【馬公市】,澎湖縣
花菜干人文懷舊餐館【馬公市】,澎湖縣
嘉賓海鮮川菜館【馬公市】,澎湖縣
馬公港原味餐廳【馬公市】,澎湖縣
自強餐廳【馬公市】,澎湖縣
巴里園【馬公市】,澎湖縣
鐘記燒餅【馬公市】,澎湖縣
日新餐廳【馬公市】,澎湖縣
漁翁海鮮小吃【馬公市】,澎湖縣
來福海鮮餐廳【馬公市】,澎湖縣
弗洛伊得 音樂?廚房【馬公市】,澎湖縣
君彤茶園【馬公市】,澎湖縣
找食間【馬公市】,澎湖縣
Lun pastry - 倫宅烘焙坊【馬公市】,澎湖縣
藍21咖啡輕食【馬公市】,澎湖縣
享吃飯糰【馬公市】,澎湖縣
車庫麵線【馬公市】,澎湖縣
G.S Cafe'菊色咖啡【馬公市】,澎湖縣
浪花串燒【馬公市】,澎湖縣
岩田丼屋【馬公市】,澎湖縣
鍋老爹火鍋城【馬公市】,澎湖縣
butterfly Cafe'【馬公市】,澎湖縣
Cocktailbar.bella【馬公市】,澎湖縣
臨海樓海鮮料理【馬公市】,澎湖縣
小島家早午餐【馬公市】,澎湖縣
沐一豬排【馬公市】,澎湖縣
風箏人文茶堂【馬公市】,澎湖縣
吉福小籠湯包【馬公市】,澎湖縣
外婆麵猴【馬公市】,澎湖縣
看鍋來頂級小火鍋【馬公市】,澎湖縣
9458韓式燒烤火鍋&海鮮吃到飽【馬公市】,澎湖縣
海沙屋冷飲專賣店【馬公市】,澎湖縣
澎湖三哥酒釀雞排【馬公市】,澎湖縣
望安CAF?【馬公市】,澎湖縣
轟餅-黑仔旺旺車輪餅【馬公市】,澎湖縣
1818·餐酒館?Bistro【馬公市】,澎湖縣
澎島之星BBQ【馬公市】,澎湖縣
吹吹風精品咖啡館-碼頭館【馬公市】,澎湖縣
南海碼頭自助碳烤【馬公市】,澎湖縣
阿婆鹹粥【馬公市】,澎湖縣
別人笑我太瘋癲-咖逼coffee【馬公市】,澎湖縣
秋禾家和風創意料理【馬公市】,澎湖縣
SUNLA【馬公市】,澎湖縣
藍媽媽仙草店【馬公市】,澎湖縣
狐獴咖啡館【馬公市】,澎湖縣
蔡記饌蔬食坊【馬公市】,澎湖縣
Addict Restaurant 癮餐廳【馬公市】,澎湖縣
新巴適經典麻辣鍋-澎湖吃到飽【馬公市】,澎湖縣
澎湖樂晨早午餐【馬公市】,澎湖縣
海島咖啡館【馬公市】,澎湖縣
著時甜點 P?tisserie Bulbul.【馬公市】,澎湖縣
嚎鯎海味館【馬公市】,澎湖縣
鼎灣米糕總店【湖西鄉】,澎湖縣
大城北牛肉麵【湖西鄉】,澎湖縣
369漁樂世界 碳烤熱炒美食【馬公市】,澎湖縣
雲泰（泰式料理）【馬公市】,澎湖縣
山水牛肉麵【馬公市】,澎湖縣
時咖啡 SHILICAFE【馬公市】,澎湖縣
永明蚵堡【白沙鄉】,澎湖縣
半日閑下午茶 ｜ 【白沙鄉】,澎湖縣
阿姨仙人掌冰【白沙鄉】,澎湖縣
花枝丸三兄弟【白沙鄉】,澎湖縣
牧羊人咖啡館【西嶼鄉】,澎湖縣
二崁杏仁茶【西嶼鄉】,澎湖縣
緝馬灣花枝丸【西嶼鄉】,澎湖縣
Ken's廚房(三天前預約制)【西嶼鄉】,澎湖縣
三山商號功夫刈包【西嶼鄉】,澎湖縣
外垵刈包 福氣早餐店【西嶼鄉】,澎湖縣
南寮風車有機農場休息站【湖西鄉】,澎湖縣
澎福古棗味【湖西鄉】,澎湖縣
兩個番茄農場【湖西鄉】,澎湖縣
Cimei越南大骨湯麵【七美鄉】,澎湖縣
澎湖吹吹風精品咖啡館【馬公市】,澎湖縣
夏至23.5攝影文創咖啡【馬公市】,澎湖縣
二馬豆花【西嶼鄉】,澎湖縣
原味漁村小吃 【馬公市】,澎湖縣
阿虹的店【西嶼鄉】,澎湖縣
瑪咖朵披薩 Mercato Pizza【馬公市】,澎湖縣
老李胡椒餅【馬公市】,澎湖縣
劉正港檸檬汁【馬公市】,澎湖縣
舒心食光【馬公市】,澎湖縣
盛記東山鴨頭【馬公市】,澎湖縣
菜宅裡的小酒館 The Garden Tapas & Bar【馬公市】,澎湖縣
藍洞Apatite【馬公市】,澎湖縣
紫玉仙草 【馬公市】,澎湖縣
澎湖仙人掌冰城 【馬公市】,澎湖縣
阿挺海鮮【西嶼鄉】,澎湖縣
赤崁加志魚麵店 【白沙鄉】,澎湖縣
仁品花枝丸【白沙鄉】,澎湖縣
回家澎湖炸物烤物 【白沙鄉】,澎湖縣
大池炸粿&鯊魚排【西嶼鄉】,澎湖縣
澎湖漁港麵店（漁港麵） 【馬公市】,澎湖縣
福台排骨麵 【馬公市】,澎湖縣
蔬脆蛋餅 【馬公市】,澎湖縣
魚好刺身專門店【西嶼鄉】,澎湖縣
福牡蠣屋【馬公市】,澎湖縣
關山紅瓦屋風味餐廳,台東縣
花蓮觀光糖廠冰品,花蓮縣
大頭目野食館,台東縣
米舖客家小館,台東縣
莫內花園,花蓮縣
麗荷園休閒餐廳,台東縣
布農部落休閒農場,台東縣
玉蟾園,台東縣
寒舍茶坊,台東縣
光復糖廠公主咖啡專櫃,花蓮縣
我的咖啡館,花蓮縣
涂媽媽肉粽,花蓮縣
玉里麵,花蓮縣
華聯遊覽-明利旅行社,花蓮縣
秋菊皂坊,台東縣
詠莉旅行社股份有限公司,台東縣
大寬有限公司,花蓮縣
全珍藝品店,台東縣
蜂之鄉 - 鳳林蜜蜂生態教育館,花蓮縣
蜂之鄉-中央門市,花蓮縣
蜂之鄉-花蓮站前店,花蓮縣
蜂之鄉-花蓮中華店,花蓮縣
臺東縣卑南鄉初鹿休閒農業發展協會,台東縣
豐興餅舖,花蓮縣
深黑義法餐酒館,台東縣
胖叔叔烘焙屋,花蓮縣
天地人.手創料理,台東縣
東港益仔海產店,屏東縣
佳珍海產店,屏東縣
張家食堂,屏東縣
阿榮坊海鮮餐廳,屏東縣
極品鱻,屏東縣
國珍平價海鮮棧,屏東縣
海味珍海產館,屏東縣
益茂海鮮料理店,屏東縣
百海餐廳,屏東縣
真饌海鮮樓,屏東縣
亞士都海產店,屏東縣
味益食品行,屏東縣
鮮饌道海洋食品文化館(觀光工廠),屏東縣
蜜仔蕃薯糖,屏東縣
綠芳水岸複合式景觀餐廳,屏東縣
